accession_id,replicate_id,Gravitropic setpoint angle (GSA)
6180,26125,-18.579999999999998
7246,26126,-18.100000000000001
5752,26127,-17.059999999999999
6931,26128,-12.65
8311,26129,-12.35
7299,26130,-12.25
7201,26131,-12.18
6073,26132,-11.866666666666699
7521,26133,-11.800000000000001
96,26134,-11.08
6951,26135,-10.800000000000001
6942,26136,-10.609999999999999
6910,26137,-10.199999999999999
8296,26138,-9.9800000000000004
204,26139,-9.5800000000000001
6915,26140,-9.5
8348,26141,-9.3499999999999996
8249,26142,-9.3399999999999999
6922,26143,-9.0999999999999996
9336,26144,-8.8133333333333308
7276,26145,-8.6600000000000001
8240,26146,-8.6099999999999994
6990,26147,-8.2799999999999994
6040,26148,-8.2100000000000009
6907,26149,-7.8700000000000001
7178,26150,-7.7599999999999998
7062,26151,-7.6699999999999999
7262,26152,-7.4500000000000002
6036,26153,-7.3933333333333398
6897,26154,-7.3399999999999999
6413,26155,-7.2600000000000096
6899,26156,-6.9299999999999997
7000,26157,-6.9199999999999999
2320,26158,-6.8200000000000003
7291,26159,-6.7699999999999996
8312,26160,-6.0899999999999999
6730,26161,-5.7999999999999998
7192,26162,-5.75
224,26163,-5.7000000000000002
6085,26164,-5.3399999999999999
5723,26165,-5.1699999999999999
7310,26166,-5.0
5751,26167,-4.8799999999999999
8376,26168,-4.8700000000000001
7255,26169,-4.8200000000000003
6994,26170,-4.7999999999999998
6074,26171,-4.7599999999999998
7205,26172,-4.6399999999999997
8337,26173,-4.5999999999999996
8258,26174,-4.5800000000000001
6923,26175,-4.5
6940,26176,-4.5
6035,26177,-4.4699999999999998
6981,26178,-4.4699999999999998
6937,26179,-4.4000000000000004
6984,26180,-4.2800000000000002
9394,26181,-4.2433333333333296
6038,26182,-3.9933333333333301
6943,26183,-3.9500000000000002
7282,26184,-3.8999999999999999
8270,26185,-3.8900000000000001
6076,26186,-3.8433333333333302
6924,26187,-3.7799999999999998
7123,26188,-3.7000000000000002
8300,26189,-3.7000000000000002
6929,26190,-3.6699999999999999
7287,26191,-3.1200000000000001
6916,26192,-3.0
7522,26193,-3.0
7166,26194,-2.8999999999999999
6930,26195,-2.77
236,26196,-2.6000000000000001
7071,26197,-2.5699999999999998
7092,26198,-2.46
6189,26199,-2.4449999999999998
6243,26200,-2.3300000000000001
6020,26201,-2.1733333333333298
7523,26202,-2.1099999999999999
6024,26203,-2.0800000000000098
6030,26204,-2.04666666666667
6023,26205,-1.9299999999999999
7210,26206,-1.73
5731,26207,-1.6899999999999999
6077,26208,-1.6599999999999999
7351,26209,-1.5700000000000001
7147,26210,-1.55
7384,26211,-1.47
6956,26212,-1.3100000000000001
6972,26213,-1.1299999999999999
9308,26214,-1.0800000000000001
6945,26215,-0.83999999999999997
6975,26216,-0.73999999999999999
2057,26217,-0.69999999999999996
8259,26218,-0.57999999999999996
8395,26219,-0.53000000000000003
7519,26220,-0.40000000000000002
6971,26221,-0.16
6019,26222,-0.10666666666666701
7081,26223,-0.10000000000000001
6928,26224,-0.080000000000000002
8271,26225,0.059999999999999998
6970,26226,0.10000000000000001
7283,26227,0.14999999999999999
6898,26228,0.20000000000000001
9442,26229,0.49333333333333501
6938,26230,0.5
6042,26231,0.67666666666666497
6936,26232,0.69999999999999996
7275,26233,0.77000000000000002
8329,26234,0.80000000000000004
7172,26235,1.2
2171,26236,1.2
6909,26237,1.3999999999999999
6944,26238,1.4099999999999999
8310,26239,1.46
6973,26240,1.54
6976,26241,1.55
8334,26242,1.7
7382,26243,1.77
7015,26244,1.8700000000000001
7477,26245,1.8799999999999999
8354,26246,1.99
7309,26247,2.04
1874,26248,2.2999999999999998
6034,26249,2.6333333333333302
266,26250,3.6099999999999999
7418,26251,3.73
5719,26252,4.3399999999999999
8256,26253,5.2000000000000002
7404,26254,5.3399999999999999
6900,26255,7.68333333333333
7353,26256,7.7400000000000002
6977,26257,9.8300000000000001
6906,26258,-10.970000000000001
8353,26259,-8.8399999999999999
7378,26260,-7.7400000000000002
9165,26261,-7.3300000000000001
7143,26262,-6.6100000000000003
7199,26263,-6.1900000000000004
7372,26264,-6.1699999999999999
7520,26265,-5.7999999999999998
8214,26266,-4.9000000000000004
8236,26267,-4.5300000000000002
7176,26268,-4.2400000000000002
6933,26269,-3.6000000000000001
8314,26270,-3.5899999999999999
5729,26271,-2.7000000000000002
394,26272,-2.5600000000000001
7002,26273,-0.42999999999999999
6982,26274,0.19
5860,26275,0.98666666666666603
8343,26276,1.8
6987,26277,1.8899999999999999
7268,26278,2.3700000000000001
6992,26279,2.4300000000000002
6980,26280,2.6099999999999999
6979,26281,2.71
7004,26282,2.8300000000000001
6284,26283,3.9900000000000002
7438,26284,4.71
1552,26285,5.5266666666666699
100000,26286,6.1200000000000001
7307,26287,6.4000000000000004
6152,26288,6.7466666666666697
6025,26289,7.5933333333333302
6978,26290,8.2599999999999998
7242,26291,8.4000000000000004
6043,26292,9.2166666666666597
7352,26293,9.4199999999999999
6016,26294,9.5633333333333308
7181,26295,9.5800000000000001
9388,26296,9.6666666666666696
6235,26297,9.8499999999999996
6188,26298,10.3366666666667
6177,26299,10.404999999999999
6169,26300,10.449999999999999
9321,26301,10.483333333333301
9433,26302,10.535
9363,26303,10.75
6009,26304,10.76
8230,26305,10.883333333333301
6917,26306,12.4866666666667
8326,26307,12.789999999999999
6184,26308,12.8533333333333
6199,26309,12.94
5856,26310,13.116666666666699
6237,26311,13.466666666666701
6946,26312,13.779999999999999
6070,26313,13.99
9427,26314,14.02
5835,26315,14.053333333333301
9332,26316,14.6566666666667
5829,26317,15.463333333333299
6214,26318,15.775
998,26319,18.219999999999999
9354,26320,19.079999999999998
6231,26321,20.010000000000002
9089,26322,8.8900000000000006
768,26323,-5.79
765,26324,1.5800000000000101
9759,26325,-11.949999999999999
766,26326,6.3700000000000001
6962,26327,2.0299999999999998
8314,26328,-31.510000000000002
9579,26329,-2.4100000000000001
9560,26330,-5.9299999999999997
9530,26331,-11.550000000000001
9537,26332,-16.920000000000002
9545,26333,-0.059999999999995002
9873,26334,2.3500000000000001
9831,26335,10.43
9848,26336,-0.82999999999999796
9817,26337,-0.869999999999997
9143,26338,-2.23999999999999
